;"Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada";"Saldo do Mês Anterior";"Movimento";"Movimento";"Saldo Atual"
;"Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada";"Saldo do Mês Anterior";"Débito";"Crédito";"Saldo Atual"
"Executivo - 10111";"1";"550";"105";"Transferência do Salário-Educação";"000000";220745514,22;0;0;220745514,22
"Executivo - 10111";"1";"551";"224";"Transferências de Recursos do FNDE referentes ao Programa Dinheiro Direto na Esc";"000004";12508,99;229,15;478,51;12758,35
"Executivo - 10111";"1";"552";"224";"Transferências de Recursos do FNDE referentes ao Programa Nacional de Alimentaçã";"000001";51592811,69;0;10266178,95;61858990,64
"Executivo - 10111";"1";"553";"224";"Transferências de Recursos do FNDE Referentes ao Programa Nacional de Apoio ao T";"000005";1127619,27;0;0;1127619,27
"Executivo - 10111";"1";"569";"224";"Outras Transferências de Recursos do FNDE";"000003";99315,2;0;1415,11;100730,31
"Executivo - 10111";"1";"569";"224";"Outras Transferências de Recursos do FNDE";"000012";417,6;0;0;417,6
"Executivo - 10111";"1";"569";"224";"Outras Transferências de Recursos do FNDE";"000016";21657,06;0;0;21657,06
"Executivo - 10111";"1";"569";"224";"Outras Transferências de Recursos do FNDE";"000017";121418,85;0;0;121418,85
"Executivo - 10111";"1";"569";"224";"Outras Transferências de Recursos do FNDE";"000037";4890064,6;0;49273,72;4939338,32
"Executivo - 10111";"1";"569";"224";"Outras Transferências de Recursos do FNDE";"000043";782,26;0;0;782,26
"Executivo - 10111";"1";"569";"224";"Outras Transferências de Recursos do FNDE";"000051";430144,44;0;0;430144,44
"Executivo - 10111";"1";"569";"224";"Outras Transferências de Recursos do FNDE";"000052";181484,92;0;0;181484,92
"Executivo - 10111";"1";"569";"224";"Outras Transferências de Recursos do FNDE";"000058";13876116,5;0;0;13876116,5
"Executivo - 10111";"1";"569";"224";"Outras Transferências de Recursos do FNDE";"000096";876795,3;0;0;876795,3
"Executivo - 10111";"1";"569";"224";"Outras Transferências de Recursos do FNDE";"000097";1191528,87;0;0;1191528,87
"Executivo - 10111";"1";"569";"224";"Outras Transferências de Recursos do FNDE";"000099";4435,47;0;0;4435,47
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"000000";37,14;0;0;37,14
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"003653";122,04;0;0;122,04
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"005461";1066,72;0;0;1066,72
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"006868";1678,95;0;0;1678,95
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"007343";6760,2;0;0;6760,2
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"007616";576,39;0;0;576,39
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"007991";0,78;0;0;0,78
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"200059";53669,81;0;0;53669,81
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"200061";1485,31;0;0;1485,31
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"200066";95920,07;0;0;95920,07
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"200067";74179,61;0;0;74179,61
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"210093";44050,37;0;0;44050,37
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"210181";19054,12;0;0;19054,12
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"210182";27186,13;0;0;27186,13
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"220127";439700,34;0;0;439700,34
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"220128";122009,93;0;0;122009,93
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"230112";18046,97;0;0;18046,97
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"240110";503136,91;0;0;503136,91
"Executivo - 10111";"1";"570";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"240208";28,87;0;0;28,87
"Executivo - 10111";"1";"600";"225";"Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal";"000000";502849747,58;0;62674338,56;565524086,14
"Executivo - 10111";"1";"601";"225";"Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal";"000000";2669016,39;0;0;2669016,39
"Executivo - 10111";"1";"605";"225";"Complementação Financeira ao Pagamento de Piso Salarial Prof da Enfermagem";"000000";36430015,17;0;4952463,11;41382478,28
"Executivo - 10111";"1";"621";"225";"Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual";"000000";249498,04;0;8086,64;257584,68
"Executivo - 10111";"1";"622";"225";"Transferências Fundo a Fundo de Recursos do SUS provenientes dos Governos Munici";"000000";22614,48;0;0;22614,48
"Executivo - 10111";"1";"631";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"003634";28,15;0;0;28,15
"Executivo - 10111";"1";"631";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"004168";4422,53;0;0;4422,53
"Executivo - 10111";"1";"631";"212";"Transferências do Governo Federal referentes a Convênios e Instrumentos Congêner";"006741";34444,03;0;0;34444,03
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000026";23335,58;0;0;23335,58
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000027";1404,42;0;0;1404,42
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000028";318240,37;0;0;318240,37
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000029";108,2;0;0;108,2
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000032";162280,57;0;0;162280,57
